Plot,May.NH4 (mg/L),May.NO3 (mg/L,May.Field Weight (g),May.Soil dry weight,May.5 g field soil dry equivalent,May.NH4/g,May.NO3/g,August.NH4 (mg/L),August.NO3 (mg/L,August.Field Weight (g),August.Soil dry weight,August.5 g field soil dry equivalent,August.NH4/g,August.NO3/g
1,0.33,0.19,1.003,0.807,4.022931206,0.410347559,0.235325923,2.14,0.71,0.999,0.951,4.75975976,2.252858801,0.742810599
2,0.99,0.35,0.995,0.696,3.497487437,1.408611207,0.503218391,2.12,0.42,1,0.937,4.685,2.260270366,0.450373533
3,0.27,0.17,1.003,0.771,3.843469591,0.350646719,0.220347782,5.94,3.12,1,0.948,4.74,6.264370605,3.294092827
4,0.51,0.06,0.996,0.705,3.539156627,0.715212766,0.088029447,5.44,4.31,1.001,0.955,4.77022977,5.702999222,4.515474314
5,1.06,0.13,0.996,0.672,3.373493976,1.565750536,0.199363036,1.07,0,1,0.924,4.62,1.159386724,0.001547619
6,0.36,0.16,1.007,0.834,4.14101291,0.433203189,0.193539604,1.53,0.05,1.001,0.944,4.715284715,1.624147242,0.055320095
7,0.23,0.08,0.994,0.783,3.938631791,0.293058621,0.106699489,1.03,0.07,1.001,0.948,4.735264735,1.084800313,0.069394219
8,3.85,0.74,1.009,0.642,3.181367691,6.04521447,1.159894221,1.68,0.19,1,0.946,4.73,1.775690627,0.203879493
9,0.2,0.22,1.003,0.836,4.167497507,0.241919761,0.26323951,1.7,0.13,0.999,0.932,4.664664665,1.825590322,0.134178991
10,0.41,0.36,0.997,0.761,3.816449348,0.538733732,0.476096978,1.23,0,1,0.955,4.775,1.288013962,0
11,0.15,0.07,1.002,0.83,4.141716567,0.185418289,0.090143783,1.14,0,1,0.941,4.705,1.215508324,0
12,0.19,0.24,1.002,0.827,4.126746507,0.229587642,0.295365853,1.49,0.03,1.001,0.929,4.64035964,1.602045368,0.032702207
13,0.86,0.17,1,0.721,3.605,1.194049931,0.231664355,2.1,0.34,1.001,0.937,4.68031968,2.246879996,0.366898015
14,0.57,0.08,1.002,0.751,3.74750499,0.760946285,0.106444155,2.55,0.42,1,0.905,4.525,2.816677716,0.463767956
15,0.65,0.44,1.004,0.829,4.128486056,0.785372642,0.52939503,2.93,1.25,1.001,0.918,4.585414585,3.196006903,1.368349553
16,0.31,0.09,1.004,0.773,3.849601594,0.406717413,0.117336818,2,0.25,1.001,0.914,4.565434565,2.190824668,0.27374174
17,0.15,-0.01,1.001,0.811,4.050949051,0.181969704,-0.016181393,2.58,0.29,0.999,0.899,4.499499499,2.863655539,0.316946363
18,0.22,0.02,1.007,0.85,4.220456802,0.257318118,0.022473871,13.32,8.31,1,0.905,4.525,14.71750645,9.179944751
19,1.21,1.72,0.993,0.824,4.149043303,1.456492391,2.068247876,4.17,1.04,1.001,0.993,4.96003996,4.200523954,1.052642729
20,0.23,0.02,1.012,0.834,4.12055336,0.273846715,0.018735348,1.9,0.06,1.001,0.894,4.465534466,2.125426808,0.066822908
21,0.59,0.28,1,0.674,3.37,0.880207715,0.419139466,2.56,0.54,1.001,0.88,4.395604396,2.913391542,0.615717375
22,0.17,0.07,1,0.836,4.18,0.205251196,0.08180622,3.38,0,0.999,0.948,4.744744745,3.562840063,0
23,0.76,0.25,0.999,0.845,4.229229229,0.900104911,0.294509929,1.71,0.27,0.999,0.926,4.634634635,1.848790108,0.291069331
24,0.5,0.07,1,0.792,3.96,0.633068182,0.084318182,1.52,0.03,1,0.928,4.64,1.636716954,0.034892241
25,0.2,0.11,0.998,0.824,4.128256513,0.23731568,0.132416675,2.94,0.32,1.001,0.91,4.545454545,3.238854667,0.350691
26,1.27,0.12,1,0.726,3.63,1.748898072,0.160702479,1.83,0,1,0.918,4.59,1.993347858,0
27,0.57,0.09,0.998,0.784,3.927855711,0.726490536,0.112453214,2.41,0.15,1.001,0.929,4.64035964,2.600825712,0.16607549
28,0.52,0.16,0.995,0.74,3.718592965,0.701004392,0.216869662,2.27,0,0.999,0.941,4.70970971,2.409674346,0
29,0.59,0.08,0.997,0.749,3.756268806,0.790372083,0.109257357,2.56,0.11,1.001,0.928,4.635364635,2.759592324,0.114996347
30,0.27,0.09,1.001,0.808,4.035964036,0.336437587,0.117369728,1.85,0,1,0.933,4.665,1.981879243,0
31,0.23,0.09,1.002,0.809,4.036926148,0.280349444,0.112709518,1.91,0,1.001,0.91,4.545454545,2.101410667,0
32,1.12,0.22,0.995,0.669,3.361809045,1.66750994,0.326743722,2.32,0.08,1,0.936,4.68,2.483678775,0.083942308
33,0.65,0.09,1.001,0.813,4.060939061,0.804703038,0.114308536,1.55,0,1.001,0.928,4.635364635,1.676203983,0
34,0.23,0.07,1,0.805,4.025,0.279950311,0.092099379,1.71,0.09,1,0.939,4.695,1.817213348,0.096485623
35,0.4,0.11,1.002,0.816,4.071856287,0.490623897,0.136326029,1.45,0.03,1.001,0.933,4.66033966,1.551296084,0.03691791
36,3.81,2.65,1.002,0.731,3.647704591,5.225464268,3.638781505,1.91,0.02,1,0.921,4.605,2.069254434,0.017763301
37,1.62,0.17,1.007,0.826,4.101290963,1.971074492,0.208544092,2.28,0,1.001,0.926,4.625374625,2.466193031,0
38,1.15,0.04,0.998,0.846,4.238476954,1.351122128,0.052860969,2.46,0,0.999,0.91,4.554554555,2.699916429,0
39,0.48,0.02,0.997,0.827,4.147442327,0.581756131,0.020181112,3.08,0.5,1,0.918,4.59,3.357029775,0.549945534
40,2.04,0.33,1.004,0.848,4.22310757,2.418645472,0.392294057,2.84,0,1.001,0.9,4.495504496,3.154087974,0
41,0.55,0.12,1,0.699,3.495,0.781959943,0.177367668,2.56,0.46,0.999,0.878,4.394394394,2.913556572,0.521334636
42,1.43,0.18,0.999,0.775,3.878878879,1.844089548,0.236292503,8.97,6.67,0.999,0.88,4.404404404,10.18183449,7.566289773
43,0.33,0.05,0.999,0.801,4.009009009,0.407532135,0.068395955,8.96,7.79,1,0.895,4.475,10.00884171,8.70726257
44,0.27,0.02,1.001,0.746,3.726273726,0.365660201,0.02593744,10.73,7.47,0.999,0.9,4.504504505,11.9078284,8.2905789
45,0.53,0.03,1.001,0.815,4.070929071,0.653216982,0.038910037,1.56,0.07,1.001,0.887,4.430569431,1.760556242,0.079402886
46,0.74,0.25,1,0.599,2.995,1.236928214,0.413155259,2.37,0,1.001,0.921,4.6003996,2.578464415,0
47,0.22,0.04,1.003,0.853,4.25224327,0.262026401,0.045458359,2.91,0,0.999,0.872,4.364364364,3.334796422,0
48,0.74,0.16,0.999,0.741,3.708708709,1.001049231,0.220521498,5.68,4.16,0.999,0.891,4.459459459,6.36777101,4.665273939
49,0.54,0.2,1,0.811,4.055,0.668458693,0.24404439,7.39,4.53,0.999,0.908,4.544544545,8.134669229,4.988574714
50,0.44,0.12,1,0.828,4.14,0.528248792,0.146123188,4.31,1.47,1,0.891,4.455,4.833449308,1.649180696
51,0.81,0.11,1,0.8,4,1.0076,0.1335125,2.01,0.01,1,0.899,4.495,2.237834631,0.006095662
52,0.19,0.07,1.001,0.846,4.225774226,0.228325024,0.083345674,1.4,0,0.999,0.921,4.60960961,1.519535765,0
53,1.78,0.29,0.999,0.724,3.623623624,2.459802928,0.404084461,2.45,0,0.999,0.915,4.57957958,2.673797115,0
54,0.2,0.09,1,0.763,3.815,0.261179554,0.113145478,1.9,0,1,0.928,4.64,2.050531609,0
55,0.11,0.06,1,0.829,4.145,0.128468034,0.076067551,3,0.72,1,0.93,4.65,3.22318638,0.770376344
56,2.49,0.55,1,0.663,3.315,3.752669683,0.824223228,3.96,2.73,0.999,0.904,4.524524525,4.370728142,3.011741881
57,0.3,0.08,1,0.829,4.145,0.358262967,0.095983112,7.17,5.08,1,0.909,4.545,7.888001467,5.591243124
58,0.7,0.27,1.001,0.786,3.926073926,0.895232761,0.345663384,1.99,0.06,0.999,0.935,4.67967968,2.129636503,0.062311957
59,0.82,0.19,1.001,0.786,3.926073926,1.043281425,0.237043422,4.76,3.22,1,0.921,4.605,5.170568223,3.494375679
60,0.31,0.11,1,0.788,3.94,0.392906091,0.141142132,1.58,0,0.999,0.939,4.6996997,1.681472684,0
61,0.29,0.04,1,0.778,3.89,0.3737018,0.050809769,1.65,0,1,0.93,4.65,1.773885305,0
62,0.23,0.11,1.008,0.745,3.695436508,0.314983087,0.146112644,1.66,0,1,0.912,4.56,1.816747076,0
63,0.26,0.06,0.999,0.774,3.873873874,0.340227907,0.077725814,1.72,0,1.001,0.939,4.69030969,1.837206333,0
64,0.39,0.16,1.004,0.824,4.103585657,0.475389126,0.196328301,1.46,0.29,0.999,0.925,4.62962963,1.5790932,0.3180816
65,0.21,0.05,1,0.792,3.96,0.267941919,0.063674242,1.59,0,0.999,0.939,4.6996997,1.688281629,0
66,0.47,0.05,1,0.772,3.86,0.603601036,0.068834197,1.59,0,1.001,0.943,4.71028971,1.69020743,0
67,0.51,0.12,1,0.826,4.13,0.619794189,0.145968523,0.68,0,1.001,0.927,4.63036963,0.729491798,0
68,0.31,0.07,1,0.798,3.99,0.390112782,0.083195489,1.11,0,1.001,0.924,4.615384615,1.206620278,0
69,0.36,0.07,1,0.873,4.365,0.40676976,0.077949599,1.29,0,1.001,0.921,4.6003996,1.40292523,0
70,0.52,0.13,1,0.857,4.285,0.606534422,0.148751459,1.33,0.03,1,0.915,4.575,1.458375228,0.032568306
71,0.45,0.07,1,0.787,3.935,0.574282084,0.094726811,0.97,0,1.001,0.924,4.615384615,1.054563611,0
72,0.31,0.08,1,0.858,4.29,0.357668998,0.088496504,1.52,0.11,0.999,0.917,4.58958959,1.651545638,0.114781505
73,0.31,0.24,1.001,0.804,4.015984016,0.387650945,0.302067935,1.57,0.09,1.001,0.934,4.665334665,1.686720724,0.101578994
74,0.21,0.08,0.999,0.761,3.808808809,0.269638108,0.101462168,1.5,0,0.999,0.911,4.55955956,1.639449286,0
75,0.46,0.21,1,0.826,4.13,0.562506053,0.252397094,1.27,0,1,0.932,4.66,1.361623748,0
76,0.48,0.11,0.999,0.776,3.883883884,0.622817281,0.145833402,1.03,0,0.999,0.892,4.464464464,1.15766778,0
77,0.54,0.21,0.998,0.789,3.952905812,0.68192872,0.269219671,3.8,3.01,1.001,0.894,4.465534466,4.254992726,3.365330649
78,0.54,0.39,0.998,0.756,3.78757515,0.718916429,0.513996402,1.1,0,1,0.912,4.56,1.201209795,0
79,0.56,0.21,1,0.707,3.535,0.795742574,0.291442716,1.09,0.12,1,0.913,4.565,1.18935743,0.1349069
80,0.55,0.18,1.001,0.887,4.430569431,0.618859504,0.203472717,1.01,0.4,1.001,0.923,4.61038961,1.098945446,0.431069859
81,0.84,0.49,1.001,0.83,4.145854146,1.008175843,0.591518639,1.26,0.33,1,0.941,4.705,1.335657102,0.354612115
82,0.6,0.33,1,0.809,4.045,0.739233622,0.409085291,1.26,0.05,0.999,0.899,4.499499499,1.39853703,0.057250812
83,0.51,0.14,1,0.843,4.215,0.603321471,0.166156584,0.71,0,1,0.912,4.56,0.781056287,0
84,0.44,0.17,0.999,0.767,3.838838839,0.567072516,0.220991304,2.27,0.35,1,0.939,4.695,2.412942847,0.369222577
85,1.23,0.17,0.999,0.716,3.583583584,1.717121941,0.239620475,1.71,0.06,1,0.868,4.34,1.966144393,0.070288018
86,0.83,0.22,1.001,0.722,3.606393606,1.14491108,0.30767579,1.76,0.13,0.999,0.898,4.494494494,1.959901537,0.149527383
87,0.35,0.06,1,0.69,3.45,0.511463768,0.093724638,1.64,0.19,0.999,0.887,4.439439439,1.846813495,0.216288568
88,1.15,0.2,0.999,0.828,4.144144144,1.390045761,0.236598913,1.21,0,1,0.884,4.42,1.372854449,0
