Plot,Ramet density
1,45
2,29
3,21
4,32
5,20
6,17
7,17
8,17
9,20
10,14
11,19
12,20
13,21
14,18
15,14
16,7
17,19
18,9
19,20
20,13
21,14
22,18
23,18
24,10
25,21
26,14
27,14
28,17
29,15
30,14
31,12
32,11
33,9
34,11
35,19
36,13
37,19
38,11
39,11
40,11
41,16
42,15
43,18
44,10
45,18
46,15
47,24
48,13
49,14
50,19
51,22
52,16
53,22
54,16
55,15
56,13
57,17
58,18
59,18
60,18
61,13
62,16
63,11
64,15
65,15
66,12
67,7
68,9
69,10
70,10
71,13
72,12
73,13
74,19
75,20
76,17
77,15
78,16
79,16
80,20
81,18
82,16
83,16
84,24
85,17
86,25
87,15
88,25
89,29
90,18
91,21
92,14
93,16
94,17
95,15
96,19
97,27
98,26
99,13
100,17
101,22
102,21
103,23
104,25
105,25
106,20
107,19
108,25
109,22
110,21
111,24
112,22
113,25
114,21
115,20
116,24
117,21
118,18
119,16
120,25
121,23
122,23
123,18
124,29
125,19
126,22
127,21
128,22
129,18
130,25
131,28
132,22
133,26
134,35
135,34
136,45
137,30
138,28
139,26
140,38
141,35
142,31
143,40
144,33
145,28
146,16
147,25
148,12
149,22
150,20
151,11
152,31
153,21
154,20
155,30
156,23
157,31
158,24
159,39
160,39
161,38
162,37
163,36
164,33
165,29
166,36
167,42
168,38
169,24
170,30
171,36
172,21
173,25
174,29
175,25
176,33
177,28
178,34
179,43
180,44
181,27
182,19
183,13
184,18
185,19
186,22
187,12
188,25
189,12
190,19
191,17
192,21
193,20
194,20
195,23
196,13
197,16
198,20
199,17
200,20
201,20
202,15
203,11
204,19
