"","Canopy.W1","Canopy.W2","Max.Height","SA.Leaf","Stem.Volume","Stem.Biomass","SSD","Biomass.Leaf","SLA.Leaf","Root.Biomass","Root.Length","Root.AvgDiam","Root.Volume","SRL","RTD","N.shoot","C.shoot","N.root","C.root"
"Achmil",11.8619047619048,5.58571428571429,25.1857142857143,4.65795238095238,0.628571428571429,78.507,202.783571428571,40.5165,148.804312742857,63.3595,115.87738,0.345005,0.1381,4756.08696952632,401.5019117,1.870625,42.8425,0.848947368421053,45.1942105263158
"Agogla",12.4,8.8,32.1,10.18,0.42,51.6,180.8,72.2076666666667,194.359845333333,NA,56.54472,0.80614,0.3196,NA,NA,1.362,43.238,1.168,43.578
"Agrcri",11.8363636363636,2.92727272727273,33.2545454545455,4.17885185185185,0.136363636363636,67.085,545.533333333333,25.5188888888889,195.309408585185,64.23,295.206788888889,0.285866666666667,0.181333333333333,4441.53186333333,483.923881666667,2.118,43.87,1.085,42.9066666666667
"Agrdas",9.50769230769231,2.6,26.2076923076923,2.30740740740741,0.175,47.93625,267.93125,19.3563333333333,124.914232385185,113.196111111111,457.21227,0.28872,0.2309,14278.5734688889,463.578563111111,1.4,44.49,1.19,45.61
"Agrgla",19,8.65,29.1,NA,0.4,63.215,243.325,NA,NA,5.115,9.1434,0.4871,0.017,1787.56598,300.882353,NA,NA,NA,NA
"Agrrep",32,20.9,57.5,11.9777777777778,0.566666666666667,233.105666666667,525.590833333333,138.504444444444,121.591909311111,789.8375,607.98335,0.504,0.8665,626.56057,1054.723788,NA,NA,NA,NA
"Agrsca",5.975,3.45,34.15,0.5,0.175,13.155,85.9125,3.11388888888889,172.981656066667,52.27,733.146825,0.1502,0.1465,12250.5065675,497.46531,1.61333333333333,43.29,0.936666666666667,45.3433333333333
"Agrsmi",6.98333333333333,2.2,33.94,3.24733333333333,0.172727272727273,32.6205,268.669,29.9395138888889,125.32260097037,76.4278571428571,240.914118181818,0.259363636363636,0.117818181818182,4884.74242,518.326914857143,1.744,44.752,0.819166666666667,42.6941666666667
"Agrsto",17,6,49,2.67933333333333,NA,68.11,NA,16.5066666666667,168.957706666667,76.375,450.6101,0.1792,0.114,5899.96858,669.95614,1.28,41.16,0.49,39.88
"Allcer",9,5,25.5,10.7777777777778,NA,NA,NA,88.1238888888889,121.409762333333,49.81,138.281433333333,0.439533333333333,0.218,2988.77585666667,234.575085666667,NA,NA,NA,NA
"Alltex",8.94285714285714,2.5,13.0571428571429,1.9,0.128571428571429,15.6685714285714,118.585714285714,12.3961111111111,154.937825555556,9.30833333333333,79.5816333333333,0.2464,0.0366666666666667,9050.04072,324.2225384,NA,NA,NA,NA
"Amealn",23.7666666666667,27.6333333333333,69.4,6.36666666666667,8,4409.20166666667,533.539555666667,84.3705555555556,104.592790955556,68,34.298,0.4388,0.056,582.0498095,917.6393075,2.39,48.11,0.626666666666667,52.05
"Andsep",2.73333333333333,2.26666666666667,3.63333333333333,NA,0.1,2.84,28.4,NA,NA,8.53,115.96765,0.14055,0.016,15575.14351,556.3492065,NA,NA,NA,NA
"Anecyl",14.425,7.775,34.25,7.91666666666667,0.375,93.0775,402.415,50.48,165.079228666667,179.495,156.9282,0.438675,0.2345,1127.76734275,700.02968325,2.18,44.4,1.57,45.26
"Anemul",15,4,26,NA,0.5,1130.89,2261.78,52.1533333333333,NA,19.885,132.8257,0.1948,0.04,6679.69324,497.125,1.62,41.52,0.49,44.6
"Anepat",19.3111111111111,14.6333333333333,25.2444444444444,25.125,0.585714285714286,72.95,135.6862963,194.311770833333,135.918492391667,22.367,151.2773625,0.4985875,0.273625,2101.612686,308.0421298,2.0225,44.35125,0.88875,45.465
"Antana",7.5,4.5,31.5,9.94444444444444,0.433333333333333,90.6983333333333,207.623333333333,61.3405555555556,170.195899333333,88.1733333333333,157.3203,0.377866666666667,0.168,1893.07320666667,502.504032,NA,NA,NA,NA
"Antmic",2.98888888888889,2.41111111111111,8.18888888888889,0.396809523809524,0.178571428571429,32.015,183.716666666667,2.19708333333333,210.076777480952,66.5488888888889,121.574488888889,0.391833333333333,0.173333333333333,3130.87223888889,397.571559888889,1.73,44.3125,0.982,47.198
"Antneg",4.0625,3.4625,1.7875,1.27222222222222,NA,NA,NA,8.11777777777778,177.645289111111,22.7292857142857,94.9597666666667,0.312916666666667,0.0695,3977.88887333333,345.292847833333,0.98,42.42,0.86,51.34
"Aradiv",10.8125,4.4,41.3,0.970833333333333,0.34375,116.876875,389.03890625,9.12895833333333,117.639623158333,46.045,127.252071428571,0.243942857142857,0.0595714285714286,5344.94770166667,571.826387333333,NA,NA,0.98,44.89
"Arahir",8,2.4,52.6833333333333,1.13333333333333,0.233333333333333,110.256666666667,528.022916666667,5.44833333333333,211.992375,37.5225,124.097466666667,0.2594,0.0641666666666667,3958.44213,623.940798333333,2.21,42.96,0.6,47.46
"Arnful",6,3.5,15.6666666666667,4.67777777777778,0.2,36.1666666666667,180.833333333333,20.2027777777778,232.302884111111,224.586666666667,217.4025,0.491433333333333,0.436666666666667,1022.307405,536.979265333333,NA,NA,NA,NA
