Date Collected,Plot,Waypoint,Block,Treatment,Bare Ground,Litter,Sti cur,Poa pra, Fes hal,Ros ark,Art lud,Art fri,Ast fal,Ast das,Ast lae,The rho,Com umb,Cam rot,Pot arg,Gal bor,Tradub-like,Pas mi,Agr sca,Ach mil,Bou gra,Carex,Eri cae,Ely tra,Eri gla,Sti com,Dan int,Ant par,Cal mon,Sol mis,Ane pat,Hel hoo,Vic ame,Geu tri,Cer arv,Tar off,Sis mon,Lat och,Lac tat,All tex,Poa ari,Tra dub,Oxy ser,Koe mac,Fra vir,Sym occ,Sti vir,Spi bet,Vio adu,Ery che,Poa pal,Fes rub,Het vil,Rub ida,Ane mul,Mon fis,Heli hoo,Ale aln,Gai ari,Con arv,,moss,Pot div,Cow pat,unk astrag. (Ast bis),Ort leu,Pen alb,rough mustard,slender wheat grass,fuzz auricle grass,unk forb 1
10-Jul-21,1,897,1,Sun/Fert/Thin,15,90,15,10,,,,2,30,,,,2,,,,,25,5,1,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t
10-Jul-21,2,897,1,Shade/No fert/Thin,5,80,,40,,,,7,10,,,,,,,,,10,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,3,897,1,Shade/Fert/Thin,25,55,,45,,,,10,,,,,,,,,,5,,5,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,4,897,1,Amb/Fert/Thin,5,60,,100,,,,,8,,,,1,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,5,897,1,Sun/No fert/Thin,t,100,,40,,,,,15,,5,,,,,,,20,,10,5,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,6,897,1,Shade/No fert/No thin,45,60,,120,,,,5,20,10,,,,,,,,15,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,7,897,1,Amb/No fert/Thin,70,35,25,10,,,,20,,,,,,,,,,20,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,8,897,1,Amb/Fert/No thin,5,110,,110,,,,,,2,,,,,,,,20,,3,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,9,897,1,Shade/Fert/No thin,45,40,,140,,,,,15,10,,,,,,,,20,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,10,897,1,Sun/Fert/No thin,20,70,,60,,,,7,15,,,,,,,,,15,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,11,897,1,Sun/No fert/No thin,5,95,,50,,,,5,18,,,,,,,,,15,t,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,12,897,1,Amb/No fert/No thin,25,35,,30,,,,,40,,t,,,,,,,15,,10,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,13,966,2,Sun/No fert/Thin,20,70,30,,15,15,,,15,1,,15,10,,,,,7,,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,14,966,2,Sun/Fert/Thin,t,110,20,10,15,15,,,15,,1,30,5,,,,,,,,,10,,,,,,,,2,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,15,966,2,Amb/Fert/Thin,t,110,5,20,20,51,,,15,,,,3,,,,,,,,,5,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,16,966,2,Amb/No fert/Thin,25,60,20,5,,25,,,15,,,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,17,966,2,Shade/No fert/No thin,40,40,30,30,30,25,,,20,,,,8,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,18,966,2,Shade/Fert/No thin,5,90,50,60,,10,,,10,,,,,,,,,5,,,,,,3,,,,,,2,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,19,966,2,Sun/Fert/No thin,90,10,25,25,20,40,,,1,5,,,,,,,,5,,,,1,,3,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
10-Jul-21,20,966,2,Shade/No fert/Thin,5,100,25,,15,15,,5,10,7,,,3,,,,,,,t,,15,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,21,966,2,Shade/Fert/Thin,45,100,25,,20,10,,,5,,,,5,,,,,,,,,10,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t
10-Jul-21,22,966,2,Amb/Fert/No thin,80,10,30,,,10,2,10,20,,,,10,,,,,,,1,,25,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
