Date Collected,Plot,Waypoint,Block,Treatment,Above Canopy PAR,Below Canopy PAR,,,,,
11-Jul-21,1,897,1,Sun/Fert/Thin,772,550,,,,,
11-Jul-21,2,897,1,Shade/No fert/Thin,492,313,,,,,
11-Jul-21,3,897,1,Shade/Fert/Thin,495,292,,,,,
11-Jul-21,4,897,1,Amb/Fert/Thin,720,271,,,,,
11-Jul-21,5,897,1,Sun/No fert/Thin,726,364,,,,,
11-Jul-21,6,897,1,Shade/No fert/No thin,306,98,,,,,
11-Jul-21,7,897,1,Amb/No fert/Thin,764,472,,,,,
11-Jul-21,8,897,1,Amb/Fert/No thin,777,296,,,,,
11-Jul-21,9,897,1,Shade/Fert/No thin,281,84,,,,,
11-Jul-21,10,897,1,Sun/Fert/No thin,762,373,,,,,   
11-Jul-21,11,897,1,Sun/No fert/No thin,738,400,,,,,
11-Jul-21,12,897,1,Amb/No fert/No thin,758,232,,,,,
11-Jul-21,13,966,2,Sun/No fert/Thin,703,443,,,,,
11-Jul-21,14,966,2,Sun/Fert/Thin,705,351,,,,,
11-Jul-21,15,966,2,Amb/Fert/Thin,668,328,,,,,
11-Jul-21,16,966,2,Amb/No fert/Thin,649,392,,,,,
11-Jul-21,17,966,2,Shade/No fert/No thin,265,87,,,,,
11-Jul-21,18,966,2,Shade/Fert/No thin,275,125,,,,,
11-Jul-21,19,966,2,Sun/Fert/No thin,685,404,,,,,
11-Jul-21,20,966,2,Shade/No fert/Thin,293,221,,,,,
11-Jul-21,21,966,2,Shade/Fert/Thin,315,215,,,,,
11-Jul-21,22,966,2,Amb/Fert/No thin,745,420,,,,,
11-Jul-21,23,966,2,Sun/No fert/No thin,756,277,,,,,
11-Jul-21,24,966,2,Amb/No fert/No thin,751,370,,,,,
11-Jul-21,25,967,3,Sun/Fert/Thin,755,326,,,,,
11-Jul-21,26,967,3,Amb/Fert/Thin,759,296,,,,,
11-Jul-21,27,967,3,Amb/No fert/Thin,773,238,,,,,
11-Jul-21,28,967,3,Sun/No fert/No thin,776,323,,,,,
11-Jul-21,29,967,3,Shade/Fert/Thin,339,194,,,,,
11-Jul-21,30,967,3,Shade/No fert/No thin,253,67,,,,,
11-Jul-21,31,967,3,Shade/No fert/Thin,331,158,,,,,
11-Jul-21,32,967,3,Sun/Fert/No thin,880,357,,,,,
11-Jul-21,33,967,3,Sun/No fert/Thin,902,383,,,,,
11-Jul-21,34,967,3,Amb/Fert/No thin,802,376,,,,,
11-Jul-21,35,967,3,Amb/No fert/No thin,812,273,,,,,
11-Jul-21,36,967,3,Shade/Fert/No thin,319,102,,,,,
11-Jul-21,37,968,4,Shade/Fert/No thin,522,124,,,,,
11-Jul-21,38,968,4,Sun/No fert/Thin,748,428,,,,,
11-Jul-21,39,968,4,Shade/Fert/Thin,472,184,,,,,
11-Jul-21,40,968,4,Amb/Fert/Thin,692,252,,,,,
11-Jul-21,41,968,4,Sun/Fert/No thin,694,174,,,,,
11-Jul-21,42,968,4,Shade/No fert/Thin,454,140,,,,,
11-Jul-21,43,968,4,Amb/No fert/Thin,661,242,,,,,
11-Jul-21,44,968,4,Sun/Fert/Thin,665,154,,,,,
11-Jul-21,45,968,4,Shade/No fert/No thin,437,161,,,,,
11-Jul-21,46,968,4,Sun/No fert/No thin,657,167,,,,,
11-Jul-21,47,968,4,Amb/Fert/No thin,658,140,,,,,
11-Jul-21,48,968,4,Amb/No fert/No thin,654,152,,,,,
11-Jul-21,49,969,5,Shade/No fert/No thin,457,171,,,,,
11-Jul-21,50,969,5,Sun/Fert/Thin,705,385,,,,,
11-Jul-21,51,969,5,Shade/No fert/Thin,501,320,,,,,
11-Jul-21,52,969,5,Amb/No fert/No thin,732,276,,,,,
11-Jul-21,53,969,5,Amb/Fert/No thin,729,239,,,,,
11-Jul-21,54,969,5,Sun/No fert/No thin,726,288,,,,,
11-Jul-21,55,969,5,Amb/Fert/Thin,773,374,,,,,
11-Jul-21,56,969,5,Shade/Fert/Thin,576,249,,,,,
11-Jul-21,57,969,5,Sun/No fert/Thin,795,581,,,,,
11-Jul-21,58,969,5,Sun/Fert/No thin,779,428,,,,,
11-Jul-21,59,969,5,Shade/Fert/No thin,519,185,,,,,
11-Jul-21,60,969,5,Amb/No fert/Thin,726,495,,,,,
11-Jul-21,61,970,6,Sun/No fert/Thin,619,376,,,,,
11-Jul-21,62,970,6,Shade/Fert/Thin,405,261,,,,,
11-Jul-21,63,970,6,Sun/Fert/Thin,570,280,,,,,
11-Jul-21,64,970,6,Sun/No fert/No thin,549,257,,,,,
11-Jul-21,65,970,6,Amb/Fert/No thin,535,221,,,,,
11-Jul-21,66,970,6,Sun/Fert/No thin,518,264,,,,,
11-Jul-21,67,970,6,Amb/No fert/Thin,497,255,,,,,
11-Jul-21,68,970,6,Amb/Fert/Thin,471,187,,,,,
11-Jul-21,69,970,6,Shade/Fert/No thin,324,72,,,,,
11-Jul-21,70,970,6,Shade/No fert/No thin,335,93,,,,,
11-Jul-21,71,970,6,Amb/No fert/No thin,515,190,,,,,
11-Jul-21,72,970,6,Shade/No fert/Thin,357,120,,,,,
11-Jul-21,73,971,7,Amb/Fert/No thin,613,233,,,,,
11-Jul-21,74,971,7,Shade/No fert/No thin,433,154,,,,,
11-Jul-21,75,971,7,Shade/No fert/Thin,464,278,,,,,
11-Jul-21,76,971,7,Sun/No fert/Thin,696,371,,,,,
11-Jul-21,77,971,7,Shade/Fert/Thin,483,159,,,,,
11-Jul-21,78,971,7,Sun/Fert/No thin,718,354,,,,,
11-Jul-21,79,971,7,Sun/Fert/Thin,734,468,,,,,
11-Jul-21,80,971,7,Sun/No fert/No thin,737,429,,,,,
11-Jul-21,81,971,7,Amb/Fert/Thin,728,444,,,,,
11-Jul-21,82,971,7,Amb/No fert/No thin,484,226,,,,,
11-Jul-21,83,971,7,Amb/No fert/Thin,687,338,,,,,
11-Jul-21,84,971,7,Shade/Fert/No thin,694,409,,,,,
11-Jul-21,85,972,8,Shade/No fert/No thin,593,263,,,,,
11-Jul-21,86,972,8,Sun/No fert/No thin,757,368,,,,,
11-Jul-21,87,972,8,Sun/Fert/Thin,826,440,,,,,
11-Jul-21,88,972,8,Shade/Fert/No thin,678,54,,,,,
11-Jul-21,89,972,8,Amb/Fert/No thin,906,521,,,,,
11-Jul-21,90,972,8,Sun/No fert/Thin,886,433,,,,,
11-Jul-21,91,972,8,Amb/No fert/No thin,818,266,,,,,
11-Jul-21,92,972,8,Shade/Fert/Thin,551,150,,,,,
11-Jul-21,93,972,8,Amb/No fert/Thin,831,348,,,,,
