Date Collected,Plot,Waypoint,Block,Treatment,Plot,Bare Ground,Litter,Ach mil,Agr sca,Ago gla,Ale aln,Ara div,And sep,Ane pat,Ane mul,Ant neg,Ant par,Ara hir,Arb ida,Art fri,Art lud,Ast das,Ast fal,Ast fle,Ast lae,Bou gra,Bro ine,Cam rot,Carex,Cer arv,Cir umb,Che alb,Col lin,Com umb,Con arv,Cow pat,Dan int,Dodecatheon sp.,Ely tra,Eri cae,Eri gla,Ery che,Fes hal,Fra vir,Gai ari,Gal bor,Gen ama,Geu tri,Hel hoo,Het vil,Koe mac,Lac tat,Lat och,Mon fis,Ort leu,Other lathyrus,Oxy ser,Pas smi,Pen alb,Poa ari,Poa pal,Poa pra,Pot arg,Pot con,Rock,Ros ark,Rub ida,Sil lat,Sis mon,Sol mis,Son arv,Sti cur,Sti vir,Sym occ,Tar off,The rho,Tra dub,Unknown Weed,Unkown Yellow Aster,Vic ame,Vio adu,Vio ped,Ziz apt
"July 24, 2023",1,897,1,Sun/Fert/Thin,1,20,90,5,,,,,,,,,,,,25,,,15,,,10,,,10,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,20,,,,25,,,,,,,,,,25,,,,,,,,,,,
"July 24, 2023",2,897,1,Shade/No fert/Thin,2,15,90,,,,,,,,,,,,,10,,,15,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,10,,,,40,,,,,,,,,,10,,,,,,,,,,,
"July 24, 2023",3,897,1,Shade/Fert/Thin,3,15,110,1,,,,,,,,,,,,10,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,80,,,,,,,,,,,,,,,,,,,,,
"July 24, 2023",4,897,1,Amb/Fert/Thin,4,10,100,,,,,,,,,,,,,8,,,5,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,25,,,,,,,,,,,,,,,,,,,,,
"July 24, 2023",5,897,1,Sun/No fert/Thin,5,20,90,5,,,,,,,,,,,,,,,10,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,35,,,,,,,,,,5,,,,,,,,,,,
"July 24, 2023",6,897,1,Shade/No fert/No thin,6,15,80,2,,,,,,,,,,,,,,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,60,,,,,,,,,,,,,,,,,,,,,
"July 24, 2023",7,897,1,Amb/No fert/Thin,7,45,55,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,5,,20,,,,,,,,,,15,,,,,,,,,,,
"July 24, 2023",8,897,1,Amb/Fert/No thin,8,10,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,75,,,,,,,,,,,,,,,,,,,,,
"July 24, 2023",9,897,1,Shade/Fert/No thin,9,0,120,,,,,,,,,,,,,,,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,120,,5,,,,,,,,,,,,,,,,,,,
"July 24, 2023",10,897,1,Sun/Fert/No thin,10,25,75,,,,,,,,,,,,,15,,,15,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,40,,,,,,,,,,,,,,,,,,,,,
