Date Collected,Plot,Waypoint,Block,Treatment,Field Weight (g),Dry Weight (g),2 g dry equivalent,Gravimetric soil moisture
25-May-21,1,,1,Sun/Fert/Thin,1.003,0.807,2.49,0.2428748451
25-May-21,2,,1,Shade/No fert/Thin,0.995,0.696,2.86,0.4295977011
25-May-21,3,,1,Shade/Fert/Thin,1.003,0.771,2.60,0.3009079118
25-May-21,4,,1,Amb/Fert/Thin,0.996,0.705,2.83,0.4127659574
25-May-21,5,,1,Sun/No fert/Thin,0.996,0.672,2.96,0.4821428571
25-May-21,6,,1,Shade/No fert/No thin,1.007,0.834,2.41,0.2074340528
25-May-21,7,,1,Amb/No fert/Thin,0.994,0.783,2.54,0.2694763729
25-May-21,8,,1,Amb/Fert/No thin,1.009,0.642,3.14,0.5716510903
25-May-21,9,,1,Shade/Fert/No thin,1.003,0.836,2.40,0.1997607656
25-May-21,10,,1,Sun/Fert/No thin,0.997,0.761,2.62,0.3101182654
25-May-21,11,,1,Sun/No fert/No thin,1.002,0.83,2.41,0.2072289157
25-May-21,12,,1,Amb/No fert/No thin,1.002,0.827,2.42,0.2116082225
25-May-21,13,,2,Sun/No fert/Thin,1,0.721,2.77,0.386962552
25-May-21,14,,2,Sun/Fert/Thin,1.002,0.751,2.67,0.3342210386
25-May-21,15,,2,Amb/Fert/Thin,1.004,0.829,2.42,0.2110977081
25-May-21,16,,2,Amb/No fert/Thin,1.004,0.773,2.60,0.298835705
25-May-21,17,,2,Shade/No fert/No thin,1.001,0.811,2.47,0.2342786683
25-May-21,18,,2,Shade/Fert/No thin,1.007,0.85,2.37,0.1847058824
25-May-21,19,,2,Sun/Fert/No thin,0.993,0.824,2.41,0.2050970874
25-May-21,20,,2,Shade/No fert/Thin,1.012,0.834,2.43,0.2134292566
25-May-21,21,,2,Shade/Fert/Thin,1,0.674,2.97,0.4836795252
25-May-21,22,,2,Amb/Fert/No thin,1,0.836,2.39,0.1961722488
25-May-21,23,,2,Sun/No fert/No thin,0.999,0.845,2.36,0.1822485207
25-May-21,24,,2,Amb/No fert/No thin,1,0.792,2.53,0.2626262626
25-May-21,25,,3,Sun/Fert/Thin,0.998,0.824,2.42,0.2111650485
25-May-21,26,,3,Amb/Fert/Thin,1,0.726,2.75,0.3774104683
25-May-21,27,,3,Amb/No fert/Thin,0.998,0.784,2.55,0.2729591837
25-May-21,28,,3,Sun/No fert/No thin,0.995,0.74,2.69,0.3445945946
25-May-21,29,,3,Shade/Fert/Thin,0.997,0.749,2.66,0.3311081442
25-May-21,30,,3,Shade/No fert/No thin,1.001,0.808,2.48,0.2388613861
25-May-21,31,,3,Shade/No fert/Thin,1.002,0.809,2.48,0.238566131
