Network.metric,CWM.trait,estimate ± standard error,Chisq,Df,p.value
Connectance,Max.Height,0.167 ± 0.166,15.957,4,0.003
Connectance,SLA,0.038 ± 0.041,18.64,4,0.001
Connectance,SRL,0.001 ± 0.001,4.358,4,0.36
Connectance,RTD,0.008 ± 0.01,9.42,4,0.051
Connectance,Max.Height:SLA,-0.001 ± 0.001,0,1,0.997
Connectance,Max.Height:SRL,0 ± 0,2.664,1,0.103
Connectance,SLA:SRL,0 ± 0,0.536,1,0.464
Connectance,Max.Height:RTD,0 ± 0,3.466,1,0.063
Connectance,SLA:RTD,0 ± 0,0.588,1,0.443
Connectance,SRL:RTD,0 ± 0,0.087,1,0.768
Connectance,Max.Height:SLA:SRL,0 ± 0,1.969,1,0.161
Connectance,Max.Height:SLA:RTD,0 ± 0,0.052,1,0.82
Connectance,Max.Height:SRL:RTD,0 ± 0,4.718,1,0.03
Connectance,SLA:SRL:RTD,0 ± 0,0.021,1,0.885
Connectance,Max.Height:SLA:SRL:RTD,0 ± 0,1.619,1,0.203
Nestedness,Max.Height,0.333 ± 0.333,15.957,4,0.003
Nestedness,SLA,0.076 ± 0.082,18.64,4,0.001
Nestedness,SRL,0.003 ± 0.002,4.358,4,0.36
Nestedness,RTD,0.015 ± 0.019,9.421,4,0.051
Nestedness,Max.Height:SLA,-0.003 ± 0.003,0,1,0.997
Nestedness,Max.Height:SRL,0 ± 0,2.664,1,0.103
Nestedness,SLA:SRL,0 ± 0,0.536,1,0.464
Nestedness,Max.Height:RTD,-0.001 ± 0.001,3.466,1,0.063
Nestedness,SLA:RTD,0 ± 0,0.588,1,0.443
Nestedness,SRL:RTD,0 ± 0,0.087,1,0.768
Nestedness,Max.Height:SLA:SRL,0 ± 0,1.969,1,0.161
Nestedness,Max.Height:SLA:RTD,0 ± 0,0.052,1,0.82
Nestedness,Max.Height:SRL:RTD,0 ± 0,4.718,1,0.03
Nestedness,SLA:SRL:RTD,0 ± 0,0.021,1,0.885
Nestedness,Max.Height:SLA:SRL:RTD,0 ± 0,1.619,1,0.203
Clustering,Max.Height,0.497 ± 0.328,23.894,4,0
Clustering,SLA,0.126 ± 0.081,40.742,4,0
Clustering,SRL,0.003 ± 0.002,4.237,4,0.375
Clustering,RTD,0.025 ± 0.019,12.815,4,0.012
Clustering,Max.Height:SLA,-0.004 ± 0.002,0.003,1,0.953
Clustering,Max.Height:SRL,0 ± 0,0.464,1,0.496
Clustering,SLA:SRL,0 ± 0,7.58,1,0.006
Clustering,Max.Height:RTD,-0.001 ± 0.001,7.241,1,0.007
Clustering,SLA:RTD,0 ± 0,0.082,1,0.775
Clustering,SRL:RTD,0 ± 0,2.723,1,0.099
Clustering,Max.Height:SLA:SRL,0 ± 0,5.817,1,0.016
Clustering,Max.Height:SLA:RTD,0 ± 0,0.094,1,0.76
Clustering,Max.Height:SRL:RTD,0 ± 0,4.74,1,0.029
Clustering,SLA:SRL:RTD,0 ± 0,0.354,1,0.552
Clustering,Max.Height:SLA:SRL:RTD,0 ± 0,2.03,1,0.154
